record_id,group,task,field_path,expected_value,expected_unit,judge_verdict,judge_note
C-U03-001,C,U03,terms.tax_basis,INCLUSIVE,口径,,
C-U03-001,C,U03,terms.tax_rate_bps,1300,bps,,
C-U03-001,C,U03,lines.L1.sku,sku-001,,,
C-U03-001,C,U03,lines.L1.quantity,10,件,,
C-U03-001,C,U03,lines.L1.unit_price_minor,12900,分,,
C-U03-001,C,U03,lines.L1.discount_minor,1000,分,,
C-U03-001,C,U03,totals.tax_minor,16640,分,,
C-U03-001,C,U03,totals.gross_minor,145640,分,,
C-U03-001,C,U03,quote.valid_until,,RFC3339,,
C-U03-001,C,U03,quote.data_as_of,,RFC3339,,
C-U04-001,C,U04,diff.changed_field,lines.L1.quantity,,,
C-U04-001,C,U04,diff.old_invalid_reason,,文本,,
C-U05-001,C,U05,release.candidate_bound_quote,,quote_id,,
C-U05-001,C,U05,release.artifact_sha256,,sha256,,
C-U05-001,C,U05,release.export_status,EXPORTED,枚举,,
C-U05-001,C,U05,delivery.status,REPORTED_SENT,枚举,,
C-U05-001,C,U05,delivery.evidence_ref,,引用,,
