sku,title,price,stock,currency,category,description
IT-DOCK-8IN1,USB-C 扩展坞 8 合 1 千兆网口 4K60Hz,289.00,120,CNY,office-it,8 口 USB-C 扩展坞 千兆网口 4K 60Hz 三屏输出
IT-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI,199.00,200,CNY,office-it,6 口 USB-C 扩展坞 HDMI+USB3.0+PD100W
IT-HDMI-2M,HDMI 2.1 线缆 2 米 8K 认证,39.90,500,CNY,office-it,HDMI 2.1 8K 60Hz 高速线 2 米
IT-KB-MECH,机械键盘 87 键 茶轴 白光,259.00,150,CNY,office-it,87 键机械键盘 茶轴 PBT 键帽
IT-KB-SLIM,超薄键盘 蓝牙双模 104 键,129.00,300,CNY,office-it,无线蓝牙键盘 双模 轻薄
IT-MS-ERGO,人体工学鼠标 无线 垂直设计,149.00,260,CNY,office-it,垂直人体工学无线鼠标 静音
IT-MS-PRO,商务鼠标 无线充电款,119.00,400,CNY,office-it,无线蓝牙鼠标 可充电
IT-MON-ARM,显示器支架臂 17-32 寸 气弹簧,179.00,90,CNY,office-it,气弹簧显示器支架臂 承重 8kg
IT-MON-24,24 英寸 IPS 显示器 1080p,699.00,40,CNY,office-it,24 寸 IPS 1080p 75Hz 三边微边框
IT-MON-27,27 英寸 2K IPS 显示器 75Hz,1099.00,30,CNY,office-it,27 寸 2K IPS 75Hz 内置音箱
IT-TONER-05,激光打印机硒鼓 标准容量,189.00,220,CNY,office-it,激光打印硒鼓 兼容 惠普 05A
IT-TONER-28,打印机硒鼓 高容量 黑色,279.00,160,CNY,office-it,高容量硒鼓 兼容 惠普 28A
IT-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,600,CNY,office-it,A4 打印纸 70g 整箱 2500 张
IT-PEN-10,中性笔 0.5mm 黑色 12 支装,15.90,800,CNY,office-it,办公中性笔 12 支/盒
IT-NB-HUB,笔记本立式支架 铝合金,69.00,350,CNY,office-it,铝合金笔记本散热支架 可调高度
IT-CAM-1080,1080P USB 摄像头 自动对焦,159.00,180,CNY,office-it,USB 高清摄像头 自动对焦 降噪麦克风
IT-SPK-BAR,桌面音响条 蓝牙 USB,99.00,210,CNY,office-it,桌面蓝牙音箱 长条 USB 供电
IT-CABLE-C3,USB-C 数据线 100W 快充 1.5 米,29.90,600,CNY,office-it,USB-C to USB-C 100W 快充线
IT-CABLE-USBCA,USB-C 转 USB-A 转接头 铝合金,19.90,700,CNY,office-it,USB-C 转 A 铝合金转接头
IT-PAD-M,鼠标垫 大号 800×300 加厚,25.90,450,CNY,office-it,电竞鼠标垫 大号 加厚防滑
