sku,title,price,stock,currency,category,description
HZ-DOCK-8IN1,USB-C 扩展坞 8 合 1 千兆网口 4K60Hz,289.00,120,CNY,office-it,8 口 USB-C 扩展坞 千兆网口 4K 60Hz 三屏输出
HZ-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI,199.00,200,CNY,office-it,6 口 USB-C 扩展坞 HDMI+USB3.0+PD100W
HZ-HDMI-2M,HDMI 2.1 线缆 2 米 8K 认证,39.90,500,CNY,office-it,HDMI 2.1 8K 60Hz 高速线 2 米
HZ-CABLE-C3,USB-C 数据线 100W 快充 1.5 米,29.90,600,CNY,office-it,USB-C to USB-C 100W 快充线
HZ-CABLE-USBCA,USB-C 转 USB-A 转接头 铝合金,19.90,700,CNY,office-it,USB-C 转 A 铝合金转接头
HZ-NB-HUB,笔记本立式支架 铝合金,69.00,350,CNY,office-it,铝合金笔记本散热支架 可调高度
HZ-KB-SLIM,超薄键盘 蓝牙双模 104 键,129.00,300,CNY,office-it,无线蓝牙键盘 双模 轻薄
HZ-PAD-M,鼠标垫 大号 800×300 加厚,25.90,450,CNY,office-it,电竞鼠标垫 大号 加厚防滑
HZ-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI 标准款,189.00,180,CNY,office-it,USB-C 扩展坞 6 合 1 HDMI+USB3.0 标准款 企业通用
HZ-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,500,CNY,office-it,A4 打印纸 70g 整箱 2500 张 企业通用
